field,Seatbelt,Gender,Vehicle,Location
1,yes,male,pickup,rural
2,yes,male,pickup,rural
3,yes,male,van,rural
4,yes,male,SUV,rural
5,no,male,car,rural
6,yes,female,SUV,rural
7,no,male,pickup,rural
8,yes,male,pickup,rural
9,no,female,car,rural
10,yes,male,pickup,rural
11,yes,male,car,rural
12,yes,female,car,rural
13,yes,female,SUV,rural
14,no,male,SUV,rural
15,yes,male,car,rural
16,no,male,pickup,rural
17,yes,female,car,rural
18,no,male,pickup,rural
19,yes,female,car,rural
20,no,male,car,rural
21,yes,male,pickup,rural
22,no,female,SUV,rural
23,yes,female,SUV,rural
24,yes,female,car,rural
25,no,female,car,rural
26,yes,female,van,rural
27,no,male,pickup,rural
28,no,male,car,rural
29,yes,male,pickup,rural
30,yes,female,car,rural
31,yes,female,car,rural
32,no,male,pickup,rural
33,no,male,pickup,rural
34,no,female,van,rural
35,yes,female,car,rural
36,yes,female,car,rural
37,no,female,car,rural
38,yes,male,car,rural
39,yes,female,van,rural
40,yes,male,pickup,rural
41,no,male,pickup,rural
42,yes,male,pickup,rural
43,no,female,car,rural
44,yes,male,pickup,rural
45,no,male,pickup,rural
46,no,male,pickup,rural
47,no,female,car,rural
48,no,female,SUV,rural
49,yes,female,SUV,rural
50,no,male,pickup,rural
51,no,female,car,rural
52,yes,female,SUV,rural
53,yes,female,pickup,rural
54,yes,female,car,rural
55,no,male,pickup,rural
56,no,male,car,rural
57,yes,female,car,rural
58,yes,male,pickup,rural
59,yes,male,car,rural
60,no,female,car,rural
61,no,male,car,rural
62,yes,female,car,rural
63,no,male,pickup,rural
64,no,female,car,rural
65,yes,male,car,rural
66,no,female,van,rural
67,yes,male,pickup,rural
68,yes,female,pickup,rural
69,no,male,pickup,rural
70,yes,female,car,rural
71,yes,male,pickup,rural
72,yes,female,SUV,rural
73,no,female,SUV,rural
74,no,female,pickup,rural
75,no,male,van,rural
76,yes,female,car,rural
77,no,male,pickup,rural
78,yes,male,pickup,rural
79,yes,male,pickup,rural
80,yes,male,pickup,rural
81,yes,female,SUV,rural
82,yes,male,pickup,rural
83,yes,male,pickup,rural
84,yes,male,SUV,rural
85,no,male,pickup,rural
86,yes,male,SUV,rural
87,no,female,car,rural
88,yes,male,van,rural
89,yes,male,SUV,rural
90,yes,male,SUV,rural
91,yes,male,car,rural
92,yes,male,car,rural
93,no,male,pickup,rural
94,yes,female,car,rural
95,no,female,pickup,rural
96,no,male,pickup,rural
97,yes,female,SUV,rural
98,no,female,pickup,rural
99,yes,male,pickup,rural
100,yes,female,car,rural
101,no,male,pickup,rural
102,yes,male,pickup,rural
103,yes,male,pickup,rural
104,yes,female,SUV,rural
105,yes,female,car,rural
106,yes,female,car,rural
107,no,male,car,rural
108,yes,male,SUV,rural
109,yes,female,car,rural
110,yes,female,SUV,rural
111,yes,female,SUV,rural
112,yes,male,pickup,rural
113,yes,male,pickup,rural
114,no,female,SUV,rural
115,yes,male,pickup,rural
116,yes,male,pickup,rural
117,no,male,pickup,rural
118,yes,male,pickup,rural
119,no,male,pickup,rural
120,yes,female,car,rural
121,yes,male,pickup,rural
122,yes,male,SUV,rural
123,yes,male,pickup,rural
124,yes,male,car,rural
125,yes,female,car,rural
126,no,male,pickup,rural
127,yes,female,van,rural
128,yes,female,van,rural
129,yes,male,pickup,rural
130,no,male,car,rural
131,no,male,pickup,rural
132,no,male,pickup,rural
133,no,female,SUV,rural
134,yes,male,pickup,rural
135,yes,male,pickup,rural
136,yes,male,van,rural
137,yes,female,car,rural
138,yes,male,car,rural
139,no,female,car,rural
140,yes,female,van,rural
141,yes,male,pickup,rural
142,yes,male,SUV,rural
143,yes,male,SUV,rural
144,no,male,car,rural
145,no,male,pickup,rural
146,no,female,car,rural
147,no,male,SUV,rural
148,no,female,car,rural
149,yes,male,car,rural
150,yes,male,pickup,rural
151,yes,female,SUV,rural
152,no,female,SUV,rural
153,no,male,pickup,rural
